1985-02-12 00:00:00
1985-04-01 00:00:00
1985-04-02 00:00:00
1985-04-15 00:00:00
1985-04-16 00:00:00
1985-04-22 00:00:00
1985-04-23 00:00:00
1985-05-07 00:00:00
1985-05-24 00:00:00
1986-07-09 00:00:00
1986-11-10 00:00:00
1987-05-05 00:00:00
1987-10-28 00:00:00
1988-06-09 00:00:00
1988-07-12 00:00:00
1988-07-13 00:00:00
1988-09-26 00:00:00
1989-04-12 00:00:00
1989-06-06 00:00:00
1989-08-07 00:00:00
1990-02-20 00:00:00
1990-03-12 00:00:00
1990-12-13 00:00:00
1991-05-15 00:00:00
1992-03-03 00:00:00
1992-03-30 00:00:00
1992-04-13 00:00:00
1992-05-07 00:00:00
1992-05-25 00:00:00
1992-06-02 00:00:00
1992-06-22 00:00:00
1992-11-16 00:00:00
1993-06-21 00:00:00
1993-07-07 00:00:00
1994-05-09 00:00:00
1994-06-14 00:00:00
1995-01-19 00:00:00
1995-02-10 00:00:00
1995-03-02 00:00:00
1995-03-03 00:00:00
1995-03-10 00:00:00
1995-03-13 00:00:00
1995-03-22 00:00:00
1995-04-19 00:00:00
1995-04-24 00:00:00
1995-05-05 00:00:00
1995-05-23 00:00:00
1995-05-31 00:00:00
1995-06-27 00:00:00
1995-07-11 00:00:00
1995-10-26 00:00:00
1995-12-11 00:00:00
1996-01-17 00:00:00
1996-04-22 00:00:00
1996-04-26 00:00:00
1996-05-21 00:00:00
1996-09-17 00:00:00
1996-09-18 00:00:00
1996-09-25 00:00:00
1996-10-30 00:00:00
1997-05-22 00:00:00
1997-07-16 00:00:00
1997-07-21 00:00:00
1997-07-28 00:00:00
1997-07-29 00:00:00
1997-09-05 00:00:00
1997-10-06 00:00:00
1998-02-24 00:00:00
1998-07-21 00:00:00
1998-08-11 00:00:00
1998-08-12 00:00:00
1998-08-13 00:00:00
1998-10-01 00:00:00
1998-10-21 00:00:00
1998-10-28 00:00:00
1998-11-25 00:00:00
1998-12-02 00:00:00
1999-02-05 00:00:00
1999-02-17 00:00:00
1999-03-17 00:00:00
1999-03-26 00:00:00
1999-04-08 00:00:00
1999-04-09 00:00:00
1999-04-16 00:00:00
1999-04-19 00:00:00
1999-04-22 00:00:00
1999-04-27 00:00:00
1999-05-07 00:00:00
1999-05-13 00:00:00
1999-05-26 00:00:00
1999-07-07 00:00:00
1999-10-05 00:00:00
1999-10-25 00:00:00
1999-10-26 00:00:00
1999-11-04 00:00:00
1999-11-25 00:00:00
1999-12-01 00:00:00
1999-12-27 00:00:00
2000-03-01 00:00:00
2000-06-05 00:00:00
2000-11-30 00:00:00
2001-01-03 00:00:00
2001-03-21 00:00:00
2001-03-27 00:00:00
2001-04-26 00:00:00
2001-05-08 00:00:00
2001-07-02 00:00:00
2001-10-15 00:00:00
2001-12-04 00:00:00
2002-10-21 09:10:00
2002-11-29 12:29:37
2003-01-13 11:49:39
2003-03-07 14:21:33
2003-03-21 11:14:53
2003-05-06 14:26:04
2003-05-13 13:56:48
2003-06-19 14:25:27
2003-06-26 11:21:24
2003-06-26 12:40:29
2003-06-26 13:25:52
2003-07-22 17:39:00
2003-10-03 13:58:57
2003-10-15 13:25:35
2003-10-15 13:34:00
2003-10-15 14:25:42
2003-10-16 09:58:42
2003-10-16 13:21:59
2003-10-27 14:34:05
2003-10-28 12:40:53
2004-01-27 14:41:21
2004-03-15 12:30:24
2004-03-30 13:33:52
2004-03-30 14:15:11
2004-03-30 16:42:13
2004-03-30 16:56:50
2004-03-30 17:02:09
2004-03-30 17:07:43
2004-03-30 17:12:23
2004-04-05 11:03:39
2004-07-19 14:12:52
2004-08-06 14:20:07
2005-06-13 14:48:17
2005-08-03 14:39:09
2005-09-12 14:47:17
2005-10-28 11:36:57
2005-12-20 12:03:00
2006-02-03 17:37:11
2006-02-03 17:44:27
2006-07-18 14:14:24
2006-11-28 12:33:41
2007-01-15 13:25:26
2007-01-26 14:11:03
2007-02-02 11:08:36
2007-03-01 12:07:05
2007-03-02 00:00:00
2007-03-06 14:49:33
2007-03-26 15:07:32
2007-04-17 12:52:45
2007-04-30 13:11:09
2007-05-22 16:19:12
2007-05-24 13:24:55
2007-09-26 11:08:35
2007-10-30 12:54:28
2008-01-25 12:28:17
2008-02-08 10:56:24
2008-02-26 14:55:46
2008-07-02 10:16:40
2008-07-30 00:00:00
2008-10-01 19:50:21
2008-10-07 12:31:54
2008-10-07 17:19:22
2008-10-08 16:52:12
2008-10-08 17:22:18
2009-03-05 13:00:28
2009-05-29 14:19:31
2009-06-05 11:59:38
2009-07-03 09:30:43
2009-07-03 11:09:09
2009-10-19 13:45:27
2010-02-01 13:56:33
2010-02-01 14:06:44
2010-06-09 12:45:40
2010-06-09 13:02:58
2010-06-09 13:07:07
2010-11-12 13:59:41
2010-11-29 14:37:19
2010-12-21 00:00:00
2011-01-18 14:12:42
2011-03-09 13:57:03
2011-04-18 14:32:37
2011-07-01 14:38:48
2012-04-24 00:00:00
2012-07-11 10:24:47
2013-06-06 13:21:30
2013-06-14 13:08:05
2013-07-25 10:20:02
2013-07-29 17:51:59
2013-08-23 13:06:01
2013-10-25 12:21:13
2014-01-08 13:49:36
2014-06-02 14:35:54
2014-06-06 12:26:50
2014-06-17 14:32:03
2014-06-17 14:50:23
2014-08-07 09:44:58
2014-09-29 10:10:52
2014-10-01 16:02:48
2014-10-01 16:09:07
2014-10-01 16:24:18
2014-10-01 16:38:21
2014-10-09 10:00:53
2014-10-09 12:05:10
2014-12-10 11:24:54
2015-02-19 18:27:39
2015-02-19 19:18:14
2015-04-29 11:18:00
2015-04-29 11:24:57
2015-04-30 12:49:49
2015-06-11 12:42:21
2015-06-23 11:24:21
2015-07-21 11:01:46
2016-06-02 00:00:00
2016-06-09 14:02:49
2016-06-13 12:39:23
2016-06-13 12:50:47
2016-06-13 12:55:33
2016-06-28 13:02:20
2016-08-22 13:55:45
2017-03-23 18:51:19
2017-06-28 10:04:34
2017-11-02 13:21:41
2017-12-01 10:26:51
2018-01-24 16:32:18
2018-01-25 09:48:26
2018-04-11 12:47:56
2018-04-11 12:48:03
2018-06-08 14:26:45
2018-07-02 14:00:31
2018-07-30 13:33:51
2018-08-09 14:10:17
2018-09-25 14:41:48
2018-11-19 09:16:21
2019-02-27 00:00:00
2019-04-04 14:26:32
2019-12-09 12:03:22
2020-01-10 12:42:14
2020-01-13 00:00:00
2020-12-02 10:20:59
2020-12-09 11:16:16
2020-12-10 16:42:47
2021-11-11 14:37:04.313518
2021-11-11 15:23:49.554798
2022-02-17 11:29:50.588831
2022-03-31 10:10:23.013099
2023-06-07 14:39:57.872648
2023-06-26 12:22:59.235222
2023-10-02 08:46:08.727517
2023-10-17 12:26:08.793562
2024-04-11 07:55:41.033204
2024-05-22 13:21:17.123618
2024-06-13 07:48:33.224538
